Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type, Item_MRP ,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size_Cleaned,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales
FDW12,12.28,Regular,0.035399923,Baking Goods,144.54,OUT027,1985,Medium,Tier 3,Supermarket Type3,4064.0432
NCB30,14.6,Low Fat,0.025698134,Household,196.51,OUT035,2004,Small,Tier 2,Supermarket Type1,1587.2672
FDC37,12.28,Low Fat,0.057556998,Baking Goods,107.69,OUT019,1985,Small,Tier 1,Grocery Store,214.3876
FDR28,13.85,Regular,0.025896485,Frozen Foods,165.02,OUT046,1997,Small,Tier 1,Supermarket Type1,4078.025
NCD06,13,Low Fat,0.099887103,Household,45.91,OUT017,2007,Medium,Tier 2,Supermarket Type1,838.908
FDV10,7.65,Regular,0.066693437,Snack Foods,42.31,OUT035,2004,Small,Tier 2,Supermarket Type1,1065.28
DRJ59,11.65,Low Fat,0.019356132,Hard Drinks,39.12,OUT013,1987,High,Tier 3,Supermarket Type1,308.9312
FDE51,5.93,Regular,0.161466534,Dairy,45.51,OUT010,1998,Medium,Tier 3,Grocery Store,178.4344
FDC14,12.31,Regular,0.072221801,Canned,43.65,OUT019,1985,Small,Tier 1,Grocery Store,125.8362
FDV38,19.25,Low Fat,0.170348551,Dairy,55.8,OUT010,1998,Medium,Tier 3,Grocery Store,163.7868
NCS17,18.6,Low Fat,0.080829372,Health and Hygiene,96.44,OUT018,2009,Medium,Tier 3,Supermarket Type2,2741.7644
FDP33,18.7,Low Fat,0,Snack Foods,256.67,OUT018,2009,Medium,Tier 3,Supermarket Type2,3068.0064
FDO23,17.85,Low Fat,0,Breads,93.14,OUT045,2002,Medium,Tier 2,Supermarket Type1,2174.5028
DRH01,17.5,Low Fat,0.097904029,Soft Drinks,174.87,OUT046,1997,Small,Tier 1,Supermarket Type1,2085.2856
NCX29,10,Low Fat,0.089291137,Health and Hygiene,146.71,OUT049,1999,Medium,Tier 1,Supermarket Type1,3791.0652
FDV20,13.22,Regular,0.059511812,Fruits and Vegetables,128.07,OUT027,1985,Medium,Tier 3,Supermarket Type3,2797.6916
DRZ11,8.85,Regular,0.113123893,Soft Drinks,122.54,OUT018,2009,Medium,Tier 3,Supermarket Type2,1609.9044
FDX10,12.99,Regular,0.123111453,Snack Foods,36.99,OUT027,1985,Medium,Tier 3,Supermarket Type3,388.1614
FDB34,12.99,Low Fat,0.026480954,Snack Foods,87.62,OUT027,1985,Medium,Tier 3,Supermarket Type3,2180.495
FDU02,13.35,Low Fat,0.102511504,Dairy,230.64,OUT046,1997,Small,Tier 1,Supermarket Type1,3435.528
FDK43,9.8,Low Fat,0.02681843,Meat,126,OUT013,1987,High,Tier 3,Supermarket Type1,2150.534
FDA46,13.6,Low Fat,0.117818348,Snack Foods,192.91,OUT049,1999,Medium,Tier 1,Supermarket Type1,2527.3768
FDC02,21.35,Low Fat,0.069102831,Canned,259.93,OUT018,2009,Medium,Tier 3,Supermarket Type2,6768.5228
FDL50,12.15,Regular,0.042277867,Canned,126.5,OUT013,1987,High,Tier 3,Supermarket Type1,373.5138
FDM39,6.42,Low Fat,0.089498926,Dairy,178.1,OUT010,1998,Medium,Tier 3,Grocery Store,358.2004
NCP05,19.6,Low Fat,0,Health and Hygiene,153.3,OUT045,2002,Medium,Tier 2,Supermarket Type1,2428.8384
FDV49,10,Low Fat,0.025879577,Canned,265.22,OUT045,2002,Medium,Tier 2,Supermarket Type1,5815.0972
FDL12,15.85,Regular,0.121632721,Baking Goods,60.62,OUT046,1997,Small,Tier 1,Supermarket Type1,2576.646
FDS02,13.43,Regular,0.255394896,Dairy,196.88,OUT019,1985,Small,Tier 1,Grocery Store,780.3176
NCL17,7.39,Low Fat,0.067779712,Health and Hygiene,143.88,OUT046,1997,Small,Tier 1,Supermarket Type1,3134.5864
FDM40,10.2,Low Fat,0.159803853,Frozen Foods,141.52,OUT013,1987,High,Tier 3,Supermarket Type1,850.8924
FDR13,9.9,Regular,0.028696932,Canned,117.05,OUT013,1987,High,Tier 3,Supermarket Type1,810.9444
FDA43,10.9,Low Fat,0.065041581,Fruits and Vegetables,196.38,OUT017,2007,Medium,Tier 2,Supermarket Type1,3121.2704
NCP18,12.15,Low Fat,0.028760013,Household,151.47,OUT017,2007,Medium,Tier 2,Supermarket Type1,4815.0656
FDK21,7.91,Low Fat,0.010053105,Snack Foods,249.04,OUT018,2009,Medium,Tier 3,Supermarket Type2,6258.52
NCX54,9.2,Low Fat,0.048157338,Household,106.16,OUT045,2002,Medium,Tier 2,Supermarket Type1,2117.244
DRK35,8.37,Low Fat,0.071958197,Hard Drinks,38.05,OUT049,1999,Medium,Tier 1,Supermarket Type1,796.9626
FDY21,15.1,Low Fat,0.173481304,Snack Foods,194.51,OUT046,1997,Small,Tier 1,Supermarket Type1,4910.275
FDI26,12.31,Low Fat,0.061082177,Canned,180.03,OUT019,1985,Small,Tier 1,Grocery Store,892.172
FDM20,10,Low Fat,0,Fruits and Vegetables,246.91,OUT018,2009,Medium,Tier 3,Supermarket Type2,3185.1872
FDV27,7.97,Regular,0.040071131,Meat,87.35,OUT045,2002,Medium,Tier 2,Supermarket Type1,1062.6168
FDF09,13.22,Low Fat,0.012090074,Fruits and Vegetables,38.28,OUT027,1985,Medium,Tier 3,Supermarket Type3,484.7024
FDY40,12.87,Regular,0.15028599,Frozen Foods,51.07,OUT019,1985,Small,Tier 1,Grocery Store,147.8076
FDY45,12.99,Low Fat,0.026015519,Snack Foods,255.84,OUT027,1985,Medium,Tier 3,Supermarket Type3,2543.356
FDC46,17.7,Low Fat,0.195068226,Snack Foods,185.43,OUT010,1998,Medium,Tier 3,Grocery Store,184.4266
FDH19,19.35,Low Fat,0.033082215,Meat,172.57,OUT035,2004,Small,Tier 2,Supermarket Type1,4865.6664
FDZ03,13.65,Regular,0.078946455,Dairy,186.02,OUT045,2002,Medium,Tier 2,Supermarket Type1,1118.544
DRH37,17.6,Low Fat,0.041700756,Soft Drinks,164.85,OUT045,2002,Medium,Tier 2,Supermarket Type1,2302.3364
NCI17,8.65,Low Fat,0.143422643,Health and Hygiene,95.84,OUT046,1997,Small,Tier 1,Supermarket Type1,2027.361
FDJ58,15.6,Regular,0.105296072,Snack Foods,170.18,OUT046,1997,Small,Tier 1,Supermarket Type1,3435.528
FDL12,15.85,Regular,0.121531501,Baking Goods,59.22,OUT013,1987,High,Tier 3,Supermarket Type1,599.22
FDH35,18.25,Low Fat,0,Starchy Foods,164.75,OUT045,2002,Medium,Tier 2,Supermarket Type1,4604.6728
FDG02,7.86,Low Fat,0.011324862,Canned,189.62,OUT017,2007,Medium,Tier 2,Supermarket Type1,2285.0256
NCZ18,7.83,Low Fat,0.186357148,Household,254.37,OUT049,1999,Medium,Tier 1,Supermarket Type1,5580.7356
FDC29,8.39,Regular,0.024205661,Frozen Foods,114.02,OUT046,1997,Small,Tier 1,Supermarket Type1,2290.352
FDQ10,12.85,Low Fat,0.033230816,Snack Foods,172.34,OUT049,1999,Medium,Tier 1,Supermarket Type1,1207.0954
FDN48,12.28,Low Fat,0.113720344,Baking Goods,89.98,OUT019,1985,Small,Tier 1,Grocery Store,643.1628
FDL04,19,Low Fat,0.112556507,Frozen Foods,104.96,OUT017,2007,Medium,Tier 2,Supermarket Type1,1587.933
FDV25,5.91,Low Fat,0,Canned,222.55,OUT045,2002,Medium,Tier 2,Supermarket Type1,5305.0944
FDD58,7.76,Low Fat,0.059352241,Snack Foods,101.87,OUT046,1997,Small,Tier 1,Supermarket Type1,1697.79
FDN04,11.8,Regular,0.014087057,Frozen Foods,180.33,OUT046,1997,Small,Tier 1,Supermarket Type1,1427.4752
FDV45,16.75,Low Fat,0.045230944,Snack Foods,187.96,OUT018,2009,Medium,Tier 3,Supermarket Type2,4693.89
NCL18,13.38,Low Fat,0.293417759,Household,194.61,OUT019,1985,Small,Tier 1,Grocery Store,583.2408
FDR12,12.28,Regular,0.031382044,Baking Goods,171.38,OUT027,1985,Medium,Tier 3,Supermarket Type3,3091.9752
FDG20,15.5,Regular,0.12639886,Fruits and Vegetables,177,OUT017,2007,Medium,Tier 2,Supermarket Type1,2479.4392
FDZ55,6.06,Low Fat,0.025403898,Fruits and Vegetables,160.99,OUT035,2004,Small,Tier 2,Supermarket Type1,2716.464
FDQ49,12.77,Regular,0.039057677,Breakfast,155.96,OUT027,1985,Medium,Tier 3,Supermarket Type3,3285.723
FDN33,6.31,Regular,0.123115764,Snack Foods,95.64,OUT046,1997,Small,Tier 1,Supermarket Type1,661.8052
FDN27,20.85,Low Fat,0.039624006,Meat,117.28,OUT049,1999,Medium,Tier 1,Supermarket Type1,1523.3504
FDW20,20.75,Low Fat,0.040421193,Fruits and Vegetables,122.17,OUT010,1998,Medium,Tier 3,Grocery Store,369.519
DRG27,8.9,Low Fat,0.105274111,Dairy,39.91,OUT049,1999,Medium,Tier 1,Supermarket Type1,690.4346
DRI25,19.6,Low Fat,0.033970195,Soft Drinks,55.16,OUT045,2002,Medium,Tier 2,Supermarket Type1,1381.535
FDA44,19.7,Low Fat,0.053212652,Fruits and Vegetables,57.89,OUT035,2004,Small,Tier 2,Supermarket Type1,622.523
NCR17,9.8,Low Fat,0.024378706,Health and Hygiene,114.55,OUT035,2004,Small,Tier 2,Supermarket Type1,1274.3412
FDU04,12.87,Low Fat,0.009714595,Frozen Foods,120.04,OUT019,1985,Small,Tier 1,Grocery Store,487.3656
FDF41,12.15,Low Fat,0.131383762,Frozen Foods,246.05,OUT049,1999,Medium,Tier 1,Supermarket Type1,1231.73
FDB56,8.75,Regular,0.07461309,Fruits and Vegetables,187.46,OUT035,2004,Small,Tier 2,Supermarket Type1,3755.112
NCP18,13.38,Low Fat,0.028459761,Household,149.97,OUT027,1985,Medium,Tier 3,Supermarket Type3,4363.6532
FDB56,8.75,Regular,0.074627201,Fruits and Vegetables,187.86,OUT046,1997,Small,Tier 1,Supermarket Type1,1314.2892
FDT28,13.3,Low Fat,0.063695084,Frozen Foods,151.07,OUT045,2002,Medium,Tier 2,Supermarket Type1,1805.6496
FDD10,12.99,Regular,0.045797829,Snack Foods,178.53,OUT027,1985,Medium,Tier 3,Supermarket Type3,2854.9504
FDW57,8.31,Regular,0.115857223,Snack Foods,179.1,OUT049,1999,Medium,Tier 1,Supermarket Type1,3896.2616
DRB48,16.75,Regular,0.024832806,Soft Drinks,38.78,OUT013,1987,High,Tier 3,Supermarket Type1,667.7974
FDP09,19.75,Low Fat,0.034027909,Snack Foods,212.09,OUT018,2009,Medium,Tier 3,Supermarket Type2,3185.853
FDH14,17.1,Regular,0.0467696,Canned,141.18,OUT013,1987,High,Tier 3,Supermarket Type1,2247.7408
FDA47,10.5,Regular,0.116576702,Baking Goods,163.12,OUT013,1987,High,Tier 3,Supermarket Type1,1794.331
FDG12,6.64,Regular,0,Baking Goods,121.31,OUT045,2002,Medium,Tier 2,Supermarket Type1,2530.7058
DRE60,11.85,Low Fat,0.278974075,Soft Drinks,225.37,OUT019,1985,Small,Tier 1,Grocery Store,679.116
DRK49,14.15,Low Fat,0.035913805,Soft Drinks,41.41,OUT013,1987,High,Tier 3,Supermarket Type1,812.276
FDD03,13.3,Low Fat,0.079806266,Dairy,232.53,OUT046,1997,Small,Tier 1,Supermarket Type1,699.09
FDS52,8.89,Low Fat,0.005505481,Frozen Foods,102.4,OUT017,2007,Medium,Tier 2,Supermarket Type1,2732.4432
FDW39,12.82,Regular,0.064625342,Meat,176.94,OUT019,1985,Small,Tier 1,Grocery Store,176.437
FDX34,12.99,Low Fat,0.071636937,Snack Foods,121.71,OUT027,1985,Medium,Tier 3,Supermarket Type3,4097.3332
FDV11,9.1,Regular,0,Breads,173.21,OUT045,2002,Medium,Tier 2,Supermarket Type1,3151.8972
FDD17,7.5,Low Fat,0.032677678,Frozen Foods,239.09,OUT049,1999,Medium,Tier 1,Supermarket Type1,5942.265
FDZ16,16.85,Regular,0.160760054,Frozen Foods,192.45,OUT017,2007,Medium,Tier 2,Supermarket Type1,4843.695
FDZ46,7.49,Low Fat,0.06911065,Snack Foods,109.02,OUT035,2004,Small,Tier 2,Supermarket Type1,2542.0244
DRA12,11.6,Low Fat,0.041177505,Soft Drinks,140.32,OUT017,2007,Medium,Tier 2,Supermarket Type1,2552.6772
FDY58,11.65,Low Fat,0.040081193,Snack Foods,227.07,OUT018,2009,Medium,Tier 3,Supermarket Type2,1141.847
NCF19,13,Low Fat,0.035307322,Household,47.5,OUT017,2007,Medium,Tier 2,Supermarket Type1,680.4476
DRJ13,12.65,Low Fat,0.063017847,Soft Drinks,159.06,OUT045,2002,Medium,Tier 2,Supermarket Type1,2085.9514
FDB14,20.25,Regular,0.171938781,Canned,92.51,OUT010,1998,Medium,Tier 3,Grocery Store,186.424
FDJ38,8.6,Regular,0.040197932,Canned,190.15,OUT035,2004,Small,Tier 2,Supermarket Type1,3036.048
FDW11,12.6,Low Fat,0.049058014,Breads,62.72,OUT017,2007,Medium,Tier 2,Supermarket Type1,866.8716
FDL40,17.7,Low Fat,0.01161096,Frozen Foods,95.04,OUT035,2004,Small,Tier 2,Supermarket Type1,868.869
DRI49,14.15,Low Fat,0.183507295,Soft Drinks,82.43,OUT046,1997,Small,Tier 1,Supermarket Type1,1137.1864
FDV38,19.25,Low Fat,0.102349519,Dairy,52.8,OUT017,2007,Medium,Tier 2,Supermarket Type1,928.1252
DRG23,8.88,Low Fat,0.086708987,Hard Drinks,151.77,OUT013,1987,High,Tier 3,Supermarket Type1,762.341
NCP30,20.5,Low Fat,0.032835147,Household,40.28,OUT045,2002,Medium,Tier 2,Supermarket Type1,707.0796
FDY25,12.31,Low Fat,0.033809913,Canned,180.6,OUT027,1985,Medium,Tier 3,Supermarket Type3,7968.2944
NCH54,13.5,Low Fat,0.07266912,Household,160.29,OUT046,1997,Small,Tier 1,Supermarket Type1,1438.128
NCR53,13.14,Low Fat,0.144338493,Health and Hygiene,224.44,OUT027,1985,Medium,Tier 3,Supermarket Type3,6976.2524
FDS52,8.89,Low Fat,0.009163216,Frozen Foods,101.7,OUT010,1998,Medium,Tier 3,Grocery Store,101.2016
FDG02,7.86,Low Fat,0.011307038,Canned,188.52,OUT018,2009,Medium,Tier 3,Supermarket Type2,952.094
NCO26,7.24,Low Fat,0.076855628,Household,116.05,OUT046,1997,Small,Tier 1,Supermarket Type1,1969.4364
FDH35,13.69,Low Fat,0.059956876,Starchy Foods,165.45,OUT027,1985,Medium,Tier 3,Supermarket Type3,5262.4832
FDB51,6.92,Low Fat,0.038532062,Dairy,60.59,OUT045,2002,Medium,Tier 2,Supermarket Type1,1314.2892
FDX44,9.3,Low Fat,0.043209581,Fruits and Vegetables,90.82,OUT017,2007,Medium,Tier 2,Supermarket Type1,535.3032
NCN07,18.5,Low Fat,0.056816465,Others,132.13,OUT010,1998,Medium,Tier 3,Grocery Store,263.6568
NCC31,8.02,Low Fat,0.019866705,Household,154.6,OUT035,2004,Small,Tier 2,Supermarket Type1,1402.1748
NCX54,9.2,Low Fat,0.048331717,Household,105.16,OUT017,2007,Medium,Tier 2,Supermarket Type1,1693.7952
NCO55,12.8,Low Fat,0.091221855,Others,105.59,OUT045,2002,Medium,Tier 2,Supermarket Type1,2143.876
NCC30,16.6,Low Fat,0.027622076,Household,177.63,OUT049,1999,Medium,Tier 1,Supermarket Type1,2676.516
FDI16,14,Regular,0,Frozen Foods,53.06,OUT035,2004,Small,Tier 2,Supermarket Type1,905.488
FDP16,18.6,Low Fat,0.039355947,Frozen Foods,246.38,OUT049,1999,Medium,Tier 1,Supermarket Type1,7370.406
FDB11,16,Low Fat,0.060836524,Starchy Foods,226.84,OUT035,2004,Small,Tier 2,Supermarket Type1,6301.1312
NCB06,17.6,Low Fat,0.082316506,Health and Hygiene,160.69,OUT035,2004,Small,Tier 2,Supermarket Type1,1597.92
FDA45,21.25,Low Fat,0.155350299,Snack Foods,178.24,OUT035,2004,Small,Tier 2,Supermarket Type1,529.311
NCO26,7.24,Low Fat,0.076841095,Household,117.55,OUT035,2004,Small,Tier 2,Supermarket Type1,1969.4364
DRJ25,14.6,Low Fat,0.151419185,Soft Drinks,50.37,OUT017,2007,Medium,Tier 2,Supermarket Type1,1034.6532
FDR28,13.85,Regular,0.026001976,Frozen Foods,161.52,OUT018,2009,Medium,Tier 3,Supermarket Type2,1794.331
FDI04,13.65,Regular,0.073209447,Frozen Foods,197.64,OUT018,2009,Medium,Tier 3,Supermarket Type2,2768.3964
DRK12,11.85,Low Fat,0.041683481,Soft Drinks,31.29,OUT027,1985,Medium,Tier 3,Supermarket Type3,898.83
FDX20,7.37,Low Fat,0.042560252,Fruits and Vegetables,226.17,OUT046,1997,Small,Tier 1,Supermarket Type1,3169.208
NCI18,18.35,Low Fat,0.014081156,Household,223.57,OUT018,2009,Medium,Tier 3,Supermarket Type2,3589.9936
FDB36,5.47,Regular,0,Baking Goods,132.56,OUT018,2009,Medium,Tier 3,Supermarket Type2,262.3252
FDN13,18.6,Low Fat,0.152918384,Breakfast,99.84,OUT017,2007,Medium,Tier 2,Supermarket Type1,1910.1802
DRD24,13.85,Low Fat,0.030969274,Soft Drinks,140.92,OUT017,2007,Medium,Tier 2,Supermarket Type1,1701.7848
FDQ28,14,Regular,0.060376776,Frozen Foods,154.57,OUT013,1987,High,Tier 3,Supermarket Type1,2471.4496
FDM22,14,Regular,0.04192285,Snack Foods,54.76,OUT013,1987,High,Tier 3,Supermarket Type1,1331.6
FDR07,13.22,Low Fat,0.077367431,Fruits and Vegetables,97.01,OUT027,1985,Medium,Tier 3,Supermarket Type3,1808.9786
FDV25,5.91,Low Fat,0.045838211,Canned,222.55,OUT018,2009,Medium,Tier 3,Supermarket Type2,3315.684
DRF49,7.27,Low Fat,0.071077939,Soft Drinks,114.25,OUT046,1997,Small,Tier 1,Supermarket Type1,2618.5914
FDW51,6.16,Regular,0.094659871,Meat,214.56,OUT046,1997,Small,Tier 1,Supermarket Type1,2769.728
DRL01,19.5,Regular,0.077608838,Soft Drinks,233.5,OUT017,2007,Medium,Tier 2,Supermarket Type1,5375.0034
FDP25,15.2,Low Fat,0.021327477,Canned,216.88,OUT017,2007,Medium,Tier 2,Supermarket Type1,2838.9712
FDL50,12.15,Regular,0.042485444,Canned,125,OUT018,2009,Medium,Tier 3,Supermarket Type2,1743.0644
NCB30,13.38,Low Fat,0.025578526,Household,198.81,OUT027,1985,Medium,Tier 3,Supermarket Type3,5555.4352
FDW11,12.6,Low Fat,0.0489808,Breads,61.92,OUT018,2009,Medium,Tier 3,Supermarket Type2,619.194
NCM43,14.5,Low Fat,0.019471688,Others,164.82,OUT035,2004,Small,Tier 2,Supermarket Type1,2120.573
FDK44,16.6,Low Fat,0.122918852,Fruits and Vegetables,173.07,OUT017,2007,Medium,Tier 2,Supermarket Type1,3823.0236
FDM15,11.8,Regular,0.057373797,Meat,151.44,OUT013,1987,High,Tier 3,Supermarket Type1,1360.2294
FDS31,13.1,Regular,0.044155597,Fruits and Vegetables,178.83,OUT013,1987,High,Tier 3,Supermarket Type1,3969.4996
FDI32,17.7,Low Fat,0.291865402,Fruits and Vegetables,115.18,OUT010,1998,Medium,Tier 3,Grocery Store,345.5502
FDR47,17.85,Low Fat,0,Breads,196.58,OUT010,1998,Medium,Tier 3,Grocery Store,585.2382
FDB35,12.3,Regular,0.064750025,Starchy Foods,92.68,OUT045,2002,Medium,Tier 2,Supermarket Type1,1010.6844
NCU05,11.8,Low Fat,0.098312421,Health and Hygiene,81.46,OUT010,1998,Medium,Tier 3,Grocery Store,161.1236
DRY23,11.85,Regular,0.191013663,Soft Drinks,42.11,OUT019,1985,Small,Tier 1,Grocery Store,42.6112
FDO24,11.1,Low Fat,0.176573035,Baking Goods,157.46,OUT045,2002,Medium,Tier 2,Supermarket Type1,3010.7476
FDQ28,12.87,Regular,0.060134441,Frozen Foods,153.07,OUT027,1985,Medium,Tier 3,Supermarket Type3,6024.1584
FDV39,11.3,Low Fat,0.007294652,Meat,198.14,OUT045,2002,Medium,Tier 2,Supermarket Type1,988.713
NCO17,13.14,Low Fat,0.128478462,Health and Hygiene,117.94,OUT019,1985,Small,Tier 1,Grocery Store,239.688
FDU50,5.75,Regular,0.075107656,Dairy,112.82,OUT013,1987,High,Tier 3,Supermarket Type1,1374.2112
FDT12,12.28,Regular,0.049381406,Baking Goods,226.81,OUT027,1985,Medium,Tier 3,Supermarket Type3,4739.8302
FDK58,11.35,Regular,0.045165796,Snack Foods,100,OUT018,2009,Medium,Tier 3,Supermarket Type2,1012.016
FDO08,13.22,Regular,0.09415375,Fruits and Vegetables,165.75,OUT019,1985,Small,Tier 1,Grocery Store,657.8104
NCW29,14,Low Fat,0.028907832,Health and Hygiene,130.43,OUT049,1999,Medium,Tier 1,Supermarket Type1,778.986
FDE04,19.75,Regular,0.018059621,Frozen Foods,179.77,OUT045,2002,Medium,Tier 2,Supermarket Type1,2336.958
NCB19,6.53,Low Fat,0.090436094,Household,85.09,OUT049,1999,Medium,Tier 1,Supermarket Type1,2233.0932
FDV15,10.3,Low Fat,0.146399712,Meat,103.96,OUT049,1999,Medium,Tier 1,Supermarket Type1,1661.8368
FDL58,5.78,Regular,0.074264356,Snack Foods,264.76,OUT049,1999,Medium,Tier 1,Supermarket Type1,4745.8224
FDA08,11.85,Regular,0.050186726,Fruits and Vegetables,164.15,OUT045,2002,Medium,Tier 2,Supermarket Type1,3124.5994
FDT43,16.35,Low Fat,0.020631654,Fruits and Vegetables,50.13,OUT018,2009,Medium,Tier 3,Supermarket Type2,467.3916
NCX06,13.38,Low Fat,0.01561108,Household,182.6,OUT027,1985,Medium,Tier 3,Supermarket Type3,5070.7328
FDT20,10.5,Low Fat,0.041395445,Fruits and Vegetables,37.62,OUT046,1997,Small,Tier 1,Supermarket Type1,540.6296
FDB41,19,Regular,0.097313129,Frozen Foods,48.07,OUT046,1997,Small,Tier 1,Supermarket Type1,992.7078
NCN55,14.6,Low Fat,0.059582996,Others,238.85,OUT049,1999,Medium,Tier 1,Supermarket Type1,6008.845
FDE40,13.43,Regular,0.098663652,Dairy,62.92,OUT027,1985,Medium,Tier 3,Supermarket Type3,2105.2596
FDX49,12.31,Regular,0.101338651,Canned,232.63,OUT027,1985,Medium,Tier 3,Supermarket Type3,5359.69
NCM53,18.75,Low Fat,0.052146456,Health and Hygiene,104.63,OUT045,2002,Medium,Tier 2,Supermarket Type1,745.696
FDE36,5.26,Regular,0.041764487,Baking Goods,161.89,OUT035,2004,Small,Tier 2,Supermarket Type1,3275.736
FDN57,18.25,Low Fat,0.054344186,Snack Foods,140.22,OUT045,2002,Medium,Tier 2,Supermarket Type1,1701.7848
FDI24,12.28,Low Fat,0.078362484,Baking Goods,177.94,OUT027,1985,Medium,Tier 3,Supermarket Type3,6704.606
FDI19,15.1,Low Fat,0.052339069,Meat,242.75,OUT046,1997,Small,Tier 1,Supermarket Type1,4119.9704
FDF24,15.5,Regular,0.042464962,Baking Goods,81.59,OUT010,1998,Medium,Tier 3,Grocery Store,327.5736
FDG52,13.65,Low Fat,0.065732883,Frozen Foods,45.74,OUT049,1999,Medium,Tier 1,Supermarket Type1,780.9834
DRF36,16.1,Low Fat,0.023625114,Soft Drinks,189.38,OUT045,2002,Medium,Tier 2,Supermarket Type1,3630.6074
FDS45,12.99,Regular,0.051643608,Snack Foods,107.36,OUT019,1985,Small,Tier 1,Grocery Store,317.5866
FDX40,12.85,Low Fat,0.165694219,Frozen Foods,39.72,OUT010,1998,Medium,Tier 3,Grocery Store,231.6984
DRK12,9.5,Low Fat,0.041878397,Soft Drinks,32.99,OUT035,2004,Small,Tier 2,Supermarket Type1,133.16
DRC27,13.8,Low Fat,0.058091482,Dairy,245.18,OUT035,2004,Small,Tier 2,Supermarket Type1,5650.6446
FDL58,5.78,Regular,0,Snack Foods,263.76,OUT017,2007,Medium,Tier 2,Supermarket Type1,2636.568
NCD30,19.7,Low Fat,0.026903714,Household,96.07,OUT045,2002,Medium,Tier 2,Supermarket Type1,1272.3438
NCZ54,14.65,Low Fat,0,Household,161.56,OUT010,1998,Medium,Tier 3,Grocery Store,324.9104
FDE10,6.67,Regular,0.150554711,Snack Foods,130.06,OUT010,1998,Medium,Tier 3,Grocery Store,131.1626
FDR44,6.11,Regular,0,Fruits and Vegetables,131.3,OUT010,1998,Medium,Tier 3,Grocery Store,260.9936
FDP28,13.65,Regular,0.134975628,Frozen Foods,260.09,OUT010,1998,Medium,Tier 3,Grocery Store,260.9936
FDX15,17.2,Low Fat,0.15616879,Meat,160.66,OUT013,1987,High,Tier 3,Supermarket Type1,3690.5294
FDA39,6.32,Low Fat,0,Meat,40.28,OUT035,2004,Small,Tier 2,Supermarket Type1,1139.1838
FDY24,4.88,Regular,0.133700752,Baking Goods,52.93,OUT049,1999,Medium,Tier 1,Supermarket Type1,1995.4026
